;;;;;;;;;;
;;;;;;;;;;
;;;;;ПРАЙС-ЛИСТ;;;;;
;;;;;Общий на все каналы и категории;;;;;
;;;;;;;;;;
НСИ;Штрих кода АlmaWine/Inter-ПИВО;код1САТ;код Алматы;Пакет;Наименование товара; Объем бутылки ; Вид упаковки ; Количество в упаковке ; Цена за 1л разливного пива ; цена 
;;;;Баядера;Аперитивы и дижестивы;;;;;
4f2bf1ba-d358-11ed-8dae-0050568ac7c0;3500610089138;26911004571;1030138;LGCF;Вино сухое белое DOMAINE SAINTE CECILE - Совиньон Блан 2016; 0,75     ;; 6     ;; 7 900     
a1096e40-007b-11ed-8da4-0050568ac7c0;3500610102103;26911004572;1030137;LGCF;Вино сухое красное DOMAINE SAINTE CECILE - Сира 2016; 0,75     ;; 6     ;; 7 900     
7761eedd-8cdc-11ee-8dae-0050568ac7c0;;;1154490;LGCF;Вино сухое белое Andre Lorentz Riesling; 0,75     ;; 6     ;; 11 300     
93886bdb-8cdc-11ee-8dae-0050568ac7c0;;;1154491;LGCF;Вино сухое белое Andre Lorentz Riesling Kirchberg de Barr GC; 0,75     ;; 6     ;; 13 600     
b53f2d92-8cdc-11ee-8dae-0050568ac7c0;;;1154492;LGCF;Вино сухое белое Andre Lorentz Pinot Gris; 0,75     ;; 6     ;; 12 500     
db088fc1-8cdc-11ee-8dae-0050568ac7c0;;;1154493;LGCF;Вино сухое белое Andre Lorentz  Gewurztraminer; 0,75     ;; 6     ;; 12 900     
f2ae7d17-8cdc-11ee-8dae-0050568ac7c0;;;1154494;LGCF;Вино сухое белое Andre Lorentz  Gewurztraminer Kirchberg de Barr GC; 0,75     ;; 6     ;; 15 400     
;;;;LGCF;Вина тихие - Италия;;;;;
b2f6e967-007b-11ed-8da4-0050568ac7c0;8052783850220;26911006544;1030196;LGCF;Вино сухое белое VILLA CARDINI GARGANEGA TREBBIANO  0.75; 0,75     ;; 6     ;; 5 200     
b2f6e968-007b-11ed-8da4-0050568ac7c0;8052783850213;26911006545;1030197;LGCF;Вино сухое красное VILLA CARDINI NERO D`AVOLA  0.75; 0,75     ;; 6     ;; 5 400     
b2f6e969-007b-11ed-8da4-0050568ac7c0;8052783850237;26911006546;1030198;LGCF;Вино сухое красное VILLA CARDINI SANGIOVESE  0.75; 0,75     ;; 6     ;; 5 200     
5a9cce0e-c7af-11ec-8da3-0050568ac7c0;8052783850619;26911006547;1030199;LGCF;Вино сухое красное VILLA CARDINI BARDOLINO  0.75; 0,75     ;; 6     ;; 5 300     
b2f6e96b-007b-11ed-8da4-0050568ac7c0;8052783850596;26911006548;1030200;LGCF;Вино сухое красное VILLA CARDINI VALPOLICELLA  0.75; 0,75     ;; 6     ;; 7 500     
5108b1d0-dbdf-11ec-8da3-0050568ac7c0;0;26911004581;1030152;LGCF;Вино сухое красное VILLA CARDINI - CHIANTI DOCG 2016; 0,75     ;; 6     ;; 6 700     
92c58996-3f61-11ef-8db1-0050568ac7c0;;;;LGCF;Вино красное сухое Massetino 0,75 л.; 0,75     ;; 6     ;; 350 000     
;;;;LGCF;Вина тихие - Испания;;;;;
a1096e4b-007b-11ed-8da4-0050568ac7c0;8436570000355;26911004584;1030126;LGCF;Вино сухое белое TERRA LINDA - Виура Шардоне 2017; 0,75     ;; 6     ;; 6 400     
a1096e4c-007b-11ed-8da4-0050568ac7c0;8436570000379;26911004585;1030128;LGCF;Вино сухое красное TERRA LINDA - Сира 2017; 0,75     ;; 6     ;; 6 400     
a1096e4d-007b-11ed-8da4-0050568ac7c0;8436570000362;26911004586;1030127;LGCF;Вино сухое красное TERRA LINDA - Гарнача 2017; 0,75     ;; 6     ;; 6 400     
;;;;LGCF;Вина тихие - Германия;;;;;
21f294a6-c795-11ec-8da3-0050568ac7c0;4002301425700;26911004573;1030131;LGCF;Вино сухое белое DEVIL'S ROCK - Рислинг 2018; 0,75     ;; 6     ;; 6 000     
;;;;LGCF;Вина тихие - Венгрия;;;;;
94e73fb0-c796-11ec-8da3-0050568ac7c0;5998623530255;26911006542;1030194;LGCF;Вино сухое белое JON JOSH CHARDONNAY 0.75; 0,75     ;; 6     ;; 5 200     
b2f6e966-007b-11ed-8da4-0050568ac7c0;5998623530286;26911006543;1030195;LGCF;Вино сухое розовое JON JOSH PINK CHARDONNAY 0.75; 0,75     ;; 6     ;; 5 200     
a1096e47-007b-11ed-8da4-0050568ac7c0;5998623530262;26911004580;1030129;LGCF;Вино сухое белое JON JOSH - Пино Гриджио 2018; 0,75     ;; 6     ;; 5 200     
;;;;LGCF;Вина тихие - США;;;;;
a1096e4e-007b-11ed-8da4-0050568ac7c0;3263280111300;26911004587;1030120;LGCF;Вино сухое белое SUN GATE - Шардоне 2018; 0,75     ;; 6     ;; 5 800     
a1096e4f-007b-11ed-8da4-0050568ac7c0;3263280114486;26911004588;1030123;LGCF;Вино полусухое розовое SUN GATE - Зинфандель 2018; 0,75     ;; 6     ;; 5 800     
ad5f1aa8-caab-11ec-8da3-0050568ac7c0;3263280115803;26911004589;1030121;LGCF;Вино сухое красное SUN GATE - Зинфандель 2018; 0,75     ;; 6     ;; 5 800     
a1096e51-007b-11ed-8da4-0050568ac7c0;3263280111317;26911004590;1030122;LGCF;Вино сухое красное SUN GATE - Каберне Совиньон 2017; 0,75     ;; 6     ;; 5 800     
;;;;LGCF;Вина тихие - ЮАР;;;;;
a1096e42-007b-11ed-8da4-0050568ac7c0;3263286327842;26911004574;1030117;LGCF;Вино сухое белое CAPE DREAM - Шенин Блан 2017; 0,75     ;; 6     ;; 4 900     
9300b84a-43ab-11ed-8daa-0050568ac7c0;3263280106290;26911004575;1030116;LGCF;Вино сухое белое CAPE DREAM - Совиньон Блан 2017; 0,75     ;; 6     ;; 4 900     
a1096e44-007b-11ed-8da4-0050568ac7c0;3263280106283;26911004576;1030118;LGCF;Вино сухое красное CAPE DREAM - Мерло Каберне Совиньон 2017; 0,75     ;; 6     ;; 4 900     
a1096e45-007b-11ed-8da4-0050568ac7c0;3263286327866;26911004577;1030119;LGCF;Вино сухое красное CAPE DREAM - Пинотаж 2017; 0,75     ;; 6     ;; 4 900     
;;;;LGCF;Вина тихие - Австралия;;;;;
a1096e46-007b-11ed-8da4-0050568ac7c0;3263286346775;26911004578;1030124;LGCF;Вино сухое белое FOX GROVE - Шардоне Семильон 2017; 0,75     ;; 6     ;; 5 400     
b2f6e920-007b-11ed-8da4-0050568ac7c0;3263286346768;26911006435;1030125;LGCF;Вино сухое красное FOX GROVE - Шираз Каберне Совиньон 2016; 0,75     ;; 6     ;; 5 400     
;;;;LGCF;Вина тихие - Чили;;;;;
a1096e0d-007b-11ed-8da4-0050568ac7c0;3263280114639;26911004258;1030103;LGCF;Вино сухое белое EL CHIVO; 0,75     ;; 6     ;; 4 600     
39d3ad7a-caac-11ec-8da3-0050568ac7c0;2113091901014;26911004259;1030105;LGCF;Вино сухое красное Каберне Совиньон EL CHIVO; 0,75     ;; 6     ;; 4 600     
a1096e0f-007b-11ed-8da4-0050568ac7c0;3263280114189;26911004260;1030106;LGCF;Вино сухое красное Мерло EL CHIVO; 0,75     ;; 6     ;; 4 600     
356cfa15-c79f-11ec-8da3-0050568ac7c0;3263280118811;26911004261;1030104;LGCF;Вино полусладкое белое EL CHIVO; 0,75     ;; 6     ;; 4 600     
c2f6e59e-3f61-11ef-8db1-0050568ac7c0;;;;LGCF;Вино красное сухое Rocas de Sena 0,75 л.; 0,75     ;; 6     ;; 60 000     
;;;;LGCF;Джин - Франция;;;;;
a1096e11-007b-11ed-8da4-0050568ac7c0;3263285153862;26911004262;1030154;LGCF;Джин WINDSOR; 0,7     ;; 6     ;; 10 263     
dcd10087-007b-11ed-8da4-0050568ac7c0;3263280121217;26911007720;1030244;LGCF;Джин GIN MR H 0,5; 0,5     ;; 12     ;; 19 800     
;;;;LGCF;Grand Chais de France;;;;;
b2f6e95e-007b-11ed-8da4-0050568ac7c0;3263280121132;26911006535;1030187;LGCF;Вино полусухое красное BUTCHER`S CORNER  0.75; 0,75     ;; 6     ;; 6 800     
b2f6e960-007b-11ed-8da4-0050568ac7c0;4049366001449;26911006537;1030189;LGCF;Вино полусухое красное HXM DORNFELDER HALBTROCKEN 0.25; 0,25     ;;   ;; 2 900     
b2f6e963-007b-11ed-8da4-0050568ac7c0;3500610045639;26911006540;1030192;LGCF;Вино полусухое красное CRUSE CUVEE ROUGE  0.25; 0,25     ;; 6     ;; 2 800     
;;;;LGCF;БЕЗАЛКОГОЛЬНОЕ ВИНО;;;;;
b2f6e96c-007b-11ed-8da4-0050568ac7c0;3263280117548;26911006549;1030201;LGCF;Вино сладкое белое безалкогольное VIVE LA VIE SAUVIGNON BLANC  0.75; 0,75     ;; 6     ;; 5 500     
b2f6e970-007b-11ed-8da4-0050568ac7c0;3263280117579;26911006553;1030205;LGCF;Вино сладкое красное безалкогольное VIVE LA VIE CABERNET SAUVIGNON  0.75; 0,75     ;; 6     ;; 5 500     
;;;;LGCF;КОНЬЯКИ. БРЕНДИ;;;;;
b2f6e971-007b-11ed-8da4-0050568ac7c0;3228825140788;26911006554;1030206;LGCF;Бренди NAPOLEON LE CUVIER 0.7; 0,70     ;; 6     ;; 7 370     
b2f6e972-007b-11ed-8da4-0050568ac7c0;3263286100452;26911006555;1030207;LGCF;Коньяк COMTE JOSEPH VS 0.7; 0,70     ;; 6     ;; 16 984     
b2f6e973-007b-11ed-8da4-0050568ac7c0;3263289313002;26911006556;1030208;LGCF;Коньяк COMTE JOSEPH VSOP MEDAILLE 0.7; 0,70     ;; 6     ;; 28 149     
b2f6e974-007b-11ed-8da4-0050568ac7c0;3263280111195;26911006557;1030209;LGCF;Коньяк COMTE JOSEPH XO 0.7; 0,70     ;; 6     ;; 49 962     
;;;;LGCF;Прочие вина;;;;;
b2f6e977-007b-11ed-8da4-0050568ac7c0;0;26911006560;1030212;LGCF;Вино сухое красное CHATEAU PONTET CANET 2009; 0,75     ;; 6     ;; 325 300     
b2f6e940-007b-11ed-8da4-0050568ac7c0;8052783851234;26911006505;1030157;LGCF;Вино сладкое белое игристое VILLA CARDINI LAMBRUSCO BIANCO  0.75; 0,75     ;; 6     ;; 4 600     
b2f6e943-007b-11ed-8da4-0050568ac7c0;3500610141317;26911006508;1030160;LGCF;Вино сухое белое CHATEAU SAINT-ROBERT CUVEE PONCET-DEVILLE  0.75; 0,75     ;; 6     ;; 20 000     
b2f6e945-007b-11ed-8da4-0050568ac7c0;3525480102152;26911006510;1030162;LGCF;Вино сухое красное CHATEAU CADET-BON  0.75; 0,75     ;; 6     ;; 45 600     
b2f6e949-007b-11ed-8da4-0050568ac7c0;3500610138935;26911006514;1030166;LGCF;Вино сухое белое CHATEAU TIMBERLAY 0.75; 0,75     ;; 6     ;; 8 000     
d9bc371e-c7a4-11ec-8da3-0050568ac7c0;3500610138904;26911006515;1030167;LGCF;Вино сухое красное CHATEAU TIMBERLAY 0.75; 0,75     ;; 6     ;; 8 000     
8550faf4-c77e-11ec-8da3-0050568ac7c0;3500610106934;26911006519;1030171;LGCF;Вино сухое белое игристое THOLOMIES CREMANT DE LIMOUX BRUT 0.75; 0,75     ;; 6     ;; 8 700     
b2f6e94f-007b-11ed-8da4-0050568ac7c0;3120581440006;26911006520;1030172;LGCF;Вино сухое красное DOMAINE CONDORCET CHATEAUNEUF-DU-PAPE 0.75; 0,75     ;; 6     ;; 31 700     
b2f6e955-007b-11ed-8da4-0050568ac7c0;3421149070070;26911006526;1030178;LGCF;Вино полусухое белое CLOS SAINT-JACQUES GEWURZTRAMINER   0.75; 0,75     ;; 6     ;; 14 000     
b2f6e957-007b-11ed-8da4-0050568ac7c0;4049366003726;26911006528;1030180;LGCF;Вино полусухое белое GRAF JOHANN IV RIESLING HALBTROCKEN  0.75; 0,75     ;; 6     ;; 7 200     
b2f6e958-007b-11ed-8da4-0050568ac7c0;4049366003733;26911006529;1030181;LGCF;Вино сухое белое GRAF JOHANN IV RIESLING TROCKEN  0.75; 0,75     ;; 6     ;; 7 200     
4c8ab10c-c5dd-11ec-8da3-0050568ac7c0;0;26912007594;217516;LGCF;Вино красное сухое Vosne Romanee 1er Cru Les Chaumes  Jean Gagnerot 2007; 0,75     ;; 36     ;; 91 100     
3cd86144-c5de-11ec-8da3-0050568ac7c0;0;26912007595;217517;LGCF;Вино белое сухое Mersault Hospices de Beaune Goureau 1998; 0,75     ;; 10     ;; 97 700     
939b0183-c5de-11ec-8da3-0050568ac7c0;0;26912007596;217518;LGCF;Вино белое сухое Mersault Hospices de Beaune Goureau 2011; 0,75     ;; 12     ;; 103 300     
2f340afe-c5e6-11ec-8da3-0050568ac7c0;0;26912007603;217525;LGCF;Вино белое сухое Mersault 1er Cru Poruzot Hospices de Beaune Jehan Humblot 1997; 0,75     ;; 9     ;; 92 200     
3f7067fa-c5e0-11ec-8da3-0050568ac7c0;0;26912007597;217519;LGCF;Вино белое сухое Mersault 1er Cru Charmes Hospices de Beaune Grivault 2009; 0,75     ;; 30     ;; 121 000     
748c7977-c5e0-11ec-8da3-0050568ac7c0;0;26912007598;217520;LGCF;Вино белое сухое Pouilly Fuisse Hospices de Beaune Poisard 2009; 0,75     ;; 12     ;; 97 700     
d93a8495-c5e0-11ec-8da3-0050568ac7c0;0;26912007599;217521;LGCF;Вино красное сухое Bonnes Mares Grand Cru Jean Gagnerot 2013; 0,75     ;; 36     ;; 216 500     
15d614d4-c5e1-11ec-8da3-0050568ac7c0;0;26912007600;217522;LGCF;Вино красное сухое Chambolle Musigny 1er Cru Feusselottes Jean Gagnerot 2007; 0,75     ;; 12     ;; 86 600     
223a8f84-c5e2-11ec-8da3-0050568ac7c0;0;26912007601;217523;LGCF;Вино красное сухое Chassagne Montrachet Jean Gagnerot 2016; 0,75     ;; 60     ;; 35 000     
e8a4067a-c5e2-11ec-8da3-0050568ac7c0;0;26912007602;217524;LGCF;Вино красное сухое Clos de Vougeot Jean Gagnerot 1974; 0,75     ;;6;; 233 100     
;;;;LGCF;Водка Франция;;;;;
b2f6e9be-007b-11ed-8da4-0050568ac7c0;2102233201013;26911006703;1030233;LGCF;"Водка ""JELZIN"" 0.5 л"; 0,50     ;; 6     ;; 4 462     
bef0edb0-007b-11ed-8da4-0050568ac7c0;3263285151356;26911007397;1030234;LGCF;"Водка ""JELZIN"" 0.7 л"; 0,70     ;; 6     ;; 5 595     
bef0edb1-007b-11ed-8da4-0050568ac7c0;3263285154906;26911007398;1030235;LGCF;"Водка ""JELZIN Черная Смородина"" 0.7 л"; 0,70     ;; 6     ;; 5 595     
bef0edb2-007b-11ed-8da4-0050568ac7c0;3263285154890;26911007399;1030236;LGCF;"Водка ""JELZIN Лимон"" 0.7 л"; 0,70     ;; 6     ;; 5 595     
5472dd7e-efc2-11ed-8dae-0050568ac7c0;;26912009156;1153651;LGCF;Водка Pure Divine 0,7; 0,70     ;; 6     ;; 5 595     
7544e02c-efc1-11ed-8dae-0050568ac7c0;;26912009157;1153650;LGCF;Водка Pure Divine 0,5; 0,50     ;; 6     ;; 4 462     
6129eb5b-2482-11ee-8dae-0050568ac7c0;;;1153932;LGCF;Водка Pure Divine Лимон 0,7; 0,70     ; бут ; 6     ;; 5 595     
efc99589-2481-11ee-8dae-0050568ac7c0;;;1153931;LGCF;Водка Pure Divine Черная Смородина 0,7; 0,70     ; бут ; 6     ;; 5 595     
;;;;LGCF;Ликер Франция LGCF;;;;;
bef0edb3-007b-11ed-8da4-0050568ac7c0;3263280111119;26911007400;1030237;LGCF;"Ликер ""JELZIN Клюква"" 0.7 л"; 0,70     ;; 6     ;; 5 023     
bef0edb4-007b-11ed-8da4-0050568ac7c0;3263285154814;26911007401;1030238;LGCF;"Ликер ""JELZIN Яблоко"" 0.7 л"; 0,70     ;; 6     ;; 5 023     
bef0edb5-007b-11ed-8da4-0050568ac7c0;3263285154029;26911007402;1030239;LGCF;"Ликер ""JELZIN Black"" 0.7 л"; 0,70     ;; 6     ;; 5 023     
bef0edb6-007b-11ed-8da4-0050568ac7c0;3263285152971;26911007403;1030240;LGCF;"Ликер ""JELZIN Вишня"" 0.7 л"; 0,70     ;; 6     ;; 5 023     
bef0edb7-007b-11ed-8da4-0050568ac7c0;3263285154838;26911007404;1030241;LGCF;"Ликер ""JELZIN Клубника"" 0.7 л"; 0,70     ;; 6     ;; 5 023     
;;;;LGCF;Бургундия LGCF;;;;;
dcd1008b-007b-11ed-8da4-0050568ac7c0;3120581440549;26911007726;1030250;LGCF;Вино сухое белое игристое RAOUL CLERGET CREMANT DE BOURGOGNE BRUT  0,75; 0,75     ;; 6     ;; 12 300     
dcd1008f-007b-11ed-8da4-0050568ac7c0;3120581447548;26911007731;1030255;LGCF;Вино сухое белое DOMAINE MARGUERITTE CARILLON LADOIX BLANC 0,75; 0,75     ;; 6     ;; 30 600     
cb59c65e-1ff7-11ed-8da5-0050568ac7c0;0;26911008360;1030263;LGCF;Вино сухое белое DOMAINE MARGUERITTE CARILLON MERSAULT; 0,75     ;; 6     ;; 52 800     
c4ec3002-007b-11ed-8da4-0050568ac7c0;0;26911008358;1030265;LGCF;Вино сухое красное DOMAINE MARGUERITTE CARILLON CORTON GRAND CRU LES MARECHAUDES; 0,75     ;; 6     ;; 77 700     
cb59c668-1ff7-11ed-8da5-0050568ac7c0;0;26911008400;1030266;LGCF;Вино сухое красное DOMAINE MARGUERITTE CARILLON LADOIX; 0,75     ;; 6     ;; 25 600     
9049cf82-c7a4-11ec-8da3-0050568ac7c0;0;26911008359;1030267;LGCF;Вино сухое красное DOMAINE MARGUERITTE CARILLON POMMARD; 0,75     ;; 6     ;; 51 100     
c4ec2f42-007b-11ed-8da4-0050568ac7c0;0;26911007981;1080101;LGCF;Вино сухое белое Pessac-Leognan Chateau Pape Clement; 0,75     ;; 6     ;; 172 100     
c4ec2f3e-007b-11ed-8da4-0050568ac7c0;0;26911007977;1080103;LGCF;Вино сухое белое Bordeaux Caillou Blanc du Chateau Talbot; 0,75     ;; 6     ;; 48 300     
c4ec2f3f-007b-11ed-8da4-0050568ac7c0;0;26911007978;1080104;LGCF;Вино сухое белое Bordeaux Pavillon Blanc du Chateau Margaux; 0,75     ;; 6     ;; 329 700     
bf2f8fb1-1ff7-11ed-8da5-0050568ac7c0;0;26911008013;1080106;LGCF;Вино сухое красное Pomerol Chateau Clinet; 0,8     ;; 6     ;; 122 100     
c4ec2f63-007b-11ed-8da4-0050568ac7c0;0;26911008019;1080107;LGCF;Вино сухое красное Saint-Emilion Grand Cru Chateau Ausone; 0,75     ;; 6     ;; 719 300     
c4ec2f64-007b-11ed-8da4-0050568ac7c0;0;26911008020;1080108;LGCF;Вино сухое красное Saint-Emilion Grand Cru Chateau Cheval Blanc; 0,75     ;; 6     ;; 610 000     
